Rk,Club,Country,Players,Min,Countries,List of Countries
68,Auxerre,fr FRA,5,971,3,GHA-3 · CIV · HAI
69,West Ham United,eng ENG,5,1155,5,COD · CZE · MEX · NED · SEN
70,Burnley,eng ENG,5,758,5,COD · RSA · SWE · SUI · TUN
71,İstanbul Başakşehir,tr TUR,5,1008,4,UZB-2 · CPV · CIV · GHA
72,Guadalajara,mx MEX,5,1342,1,MEX-5
73,Napoli,it ITA,5,1155,3,BEL-2 · SCO-2 · URU
74,Lyon,fr FRA,5,1258,5,ARG · BRA · CZE · GHA · SEN
75,Al Sadd,qa QAT,5,835,1,QAT-5
76,Pyramids FC,eg EGY,5,732,3,EGY-3 · COD · JOR
77,Real Sociedad,es ESP,5,694,4,CRO-2 · JPN · POR · ESP
78,Nottingham Forest,eng ENG,5,1846,5,CIV · ENG · NZL · SCO · SUI
79,Club Brugge,be BEL,5,1146,3,BEL-3 · ECU · SWE
80,Feyenoord,nl NED,5,1080,4,JPN-2 · ALG · AUS · KOR
81,Augsburg,de GER,4,617,4,AUT · CRO · SUI · TUN
82,Beşiktaş,tr TUR,4,822,4,CIV · KOR · PAN · TUR
83,Ajax,nl NED,4,722,3,JPN-2 · CRO · NED
84,Genk,be BEL,4,323,4,COD · ECU · JPN · MAR
85,Athletic Club,es ESP,4,1716,2,ESP-3 · GHA
86,Midtjylland,dk DEN,4,301,3,KOR-2 · CRO · ECU
87,Atlético Mineiro,br BRA,4,805,2,ECU-3 · PAR
88,Al-Shorta,iq IRQ,4,228,1,IRQ-4
89,St Pauli,de GER,4,898,3,AUS-2 · BIH · SWE
90,Leeds United,eng ENG,4,619,4,JPN · SWE · SUI · USA
91,Porto,pt POR,4,971,4,CAN · CIV · POR · TUR
92,AEL Limassol,cy CYP,4,255,3,COD-2 · MEX · RSA
93,Braga,pt POR,4,450,4,AUT · CZE · SWE · URU
94,Al-Wakrah,qa QAT,4,471,2,QAT-3 · EGY
95,Rangers,sct SCO,4,431,3,SCO-2 · BEL · NOR
96,Freiburg,de GER,4,486,4,AUT · CRO · JPN · SUI
97,Pakhtakor Tashkent FK,uz UZB,4,603,2,UZB-3 · IRQ
98,Al Rayyan SC,qa QAT,4,507,1,QAT-4
99,Rennes,fr FRA,4,794,4,FRA · GHA · JOR · SUI
100,Al-Karma,iq IRQ,4,154,2,IRQ-2 · JOR-2
101,Schalke 04,de GER,4,509,2,BIH-3 · AUT
