player,team,primary_position,minutes,goals,assists,player_rating_100
Nicolas Pépé,Côte d'Ivoire,FW,234.0,2.0,1.0,45.21150749411619
Ørjan Nyland,Norway,GK,480.0,0.0,0.0,45.01650165016501
Cody Gakpo,Netherlands,FW,368.0,3.0,1.0,44.58057655954631
Andreas Schjelderup,Norway,FW,252.0,1.0,3.0,43.92282033586381
Kai Havertz,Germany,FW,353.0,3.0,0.0,43.52198546619042
Bukayo Saka,England,MF,358.0,3.0,3.0,43.26212225957187
Alexander Isak,Sweden,FW,357.0,1.0,3.0,42.85430114074615
Folarin Balogun,United States,FW,312.0,3.0,0.0,42.46167781493868
Orlando Mosquera,Panama,GK,270.0,0.0,0.0,41.980198019801975
Merchas Doski,Iraq,DF,270.0,0.0,0.0,41.961926961926956
Mostafa Shobeir,Egypt,GK,480.0,0.0,0.0,41.71617161716172
Johan Manzambi,Switzerland,MF,199.0,3.0,2.0,41.4398077343238
Uğurcan Çakır,Türkiye,GK,270.0,0.0,0.0,40.59405940594059
Cristiano Ronaldo,Portugal,FW,440.0,3.0,0.0,39.72381422924901
Khuliso Mudau,South Africa,DF,360.0,0.0,0.0,39.644230769230774
Matej Kovar,Czechia,GK,270.0,0.0,0.0,39.603960396039604
Jonathan David,Canada,FW,420.0,3.0,0.0,39.09730848861284
Alexander Schlager,Austria,GK,360.0,0.0,0.0,39.009900990099005
Amad Diallo,Côte d'Ivoire,MF,185.0,2.0,0.0,38.40937988764076
Johny Placide,Haiti,GK,270.0,0.0,0.0,38.21782178217821
Mohamed Amine Ben Hamida,Tunisia,DF,202.0,0.0,0.0,37.73713909852523
Luca Zidane,Algeria,GK,270.0,0.0,0.0,37.68976897689769
Musa Al-Taamari,Jordan,FW,215.0,1.0,1.0,36.86585776879002
Viktor Gyökeres,Sweden,FW,360.0,1.0,2.0,36.66384863123994
Felix Nmecha,Germany,MF,270.0,1.0,1.0,36.62097751952824
Ayase Ueda,Japan,FW,321.0,2.0,1.0,36.2526524899544
Mahmoud Abunada,Qatar,GK,270.0,0.0,0.0,35.97359735973597
Jude Bellingham,England,MF,614.0,7.0,1.0,35.74120905766565
Livano Comenencia,Curaçao,MF,233.0,1.0,0.0,35.631623772135065
Aurélien Tchouaméni,France,MF,360.0,0.0,1.0,34.73174048174048
Max Crocombe,New Zealand,GK,270.0,0.0,0.0,34.587458745874585
Charles De Ketelaere,Belgium,MF,350.0,3.0,1.0,34.29489206445729
Pape Gueye,Senegal,MF,234.0,2.0,1.0,33.77859289230527
Ali Abdi,Tunisia,DF,269.0,0.0,0.0,33.763485585046915
Malik Tillman,United States,MF,356.0,2.0,1.0,33.74391343065012
Matías Galarza,Paraguay,MF,388.0,1.0,1.0,33.56533780726967
Yazan Al-Arab,Jordan,DF,270.0,0.0,0.0,33.035612535612536
Fernando Muslera,Uruguay,GK,225.0,0.0,0.0,33.003300330033
Manuel Neuer,Germany,GK,390.0,0.0,0.0,33.003300330033
Yazeed Abulaila,Jordan,GK,270.0,0.0,0.0,33.003300330033
Marcos Llorente,Spain,DF,187.0,0.0,1.0,32.9896039789088
Dayot Upamecano,France,DF,660.0,0.0,1.0,32.93967725291835
Stefan Posch,Austria,DF,331.0,0.0,0.0,31.637758012380367
Mikel Merino,Spain,MF,199.0,2.0,0.0,31.360799640240323
Ferran Torres,Spain,FW,288.0,1.0,1.0,31.19363929146538
Saud Abdulhamid,Saudi Arabia,DF,269.0,0.0,0.0,31.09392466269789
Denis Zakaria,Switzerland,DF,357.0,0.0,0.0,31.091589569850438
Elijah Just,New Zealand,MF,264.0,3.0,0.0,31.016750048370607
Alex Freeman,United States,DF,374.0,1.0,1.0,30.969906440145923
Yoane Wissa,Congo DR,FW,360.0,3.0,0.0,30.924516908212563
Alan Franco,Ecuador,DF,251.0,0.0,0.0,30.092218538433674
Ramin Rezaeian,IR Iran,DF,270.0,2.0,1.0,29.914143290954886
Michael Olise,France,MF,646.0,0.0,7.0,29.76584628186459
Deroy Duarte,Cabo Verde,MF,264.0,1.0,0.0,29.693395646952958
Djed Spence,England,DF,404.0,0.0,0.0,29.597326371433137
Pedro Vite,Ecuador,MF,360.0,0.0,1.0,29.548870815175164
Breel Embolo,Switzerland,FW,501.0,2.0,2.0,29.53035957071365
Xaver Schlager,Austria,MF,238.0,0.0,1.0,29.517982017982014
Pedro Porro,Spain,DF,563.0,2.0,0.0,29.440260617185476
Lucas Paquetá,Brazil,MF,233.0,0.0,1.0,29.246852233416888
Ismael Saibari,Morocco,FW,381.0,3.0,0.0,29.220015976263834
Emmanuel Agbadou,Côte d'Ivoire,DF,270.0,0.0,0.0,29.093780615519744
Nathaniel Brown,Germany,DF,282.0,1.0,1.0,29.000357233474716
Luis Romo,Mexico,MF,264.0,1.0,1.0,28.831961297376317
Abdallah Nasib,Jordan,DF,260.0,0.0,0.0,28.7822754168908
Ismaila Sarr,Senegal,MF,364.0,4.0,1.0,28.585040934539265
